n,F(n),iterative_ns,recursive_ns
38,39088169,3580.0,9976.0
17,1597,1524.0,4576.0
3,2,533.0,739.0
7,13,817.0,1770.0
39,63245986,3190.0,10332.0
28,317811,2480.0,7094.0
23,28657,1949.0,5984.0
21,10946,1884.0,5465.0
28,317811,2320.0,7224.0
39,63245986,3129.0,10131.0
33,3524578,2750.0,8544.0
8,21,860.0,1966.0
25,75025,2272.0,6365.0
37,24157817,3155.0,9601.0
13,233,1172.0,3161.0
17,1597,1477.0,4413.0
3,2,522.0,723.0
28,317811,3689.0,13865.0
1,1,638.0,452.0
34,5702887,5089.0,15707.0
35,9227465,2896.0,9289.0
44,701408733,3648.0,11671.0
43,433494437,3457.0,11061.0
13,233,1186.0,3229.0
24,46368,2209.0,6051.0
28,317811,2479.0,7134.0
5,5,662.0,1227.0
43,433494437,3569.0,11053.0
22,17711,1868.0,5734.0
40,102334155,3206.0,10283.0
21,10946,1859.0,5436.0
43,433494437,3425.0,12588.0
8,21,888.0,2183.0
20,6765,1723.0,5067.0
33,3524578,3006.0,9487.0
20,6765,1910.0,5445.0
43,433494437,4131.0,12536.0
27,196418,2275.0,7247.0
21,10946,1969.0,5539.0
26,121393,2175.0,6784.0
45,1134903170,3644.0,11770.0
19,4181,1653.0,4937.0
36,14930352,2923.0,9345.0
9,34,938.0,2211.0
13,233,1343.0,3174.0
27,196418,2240.0,7011.0
43,433494437,3435.0,11065.0
25,75025,2114.0,6481.0
44,701408733,3506.0,14110.0
12,144,1468.0,3181.0
40,102334155,4634.0,18561.0
37,24157817,4992.0,11763.0
20,6765,2334.0,7285.0
26,121393,2696.0,7193.0
36,14930352,3046.0,10853.0
1,1,425.0,260.0
20,6765,1764.0,5927.0
19,4181,2008.0,5302.0
14,377,1380.0,4017.0
28,317811,2550.0,7935.0
38,39088169,3423.0,10729.0
39,63245986,3429.0,11170.0
42,267914296,3670.0,13612.0
21,10946,1971.0,6149.0
30,832040,2718.0,8708.0
29,514229,4509.0,11338.0
29,514229,3157.0,8686.0
44,701408733,4608.0,13936.0
14,377,1491.0,4175.0
33,3524578,2854.0,9158.0
31,1346269,2645.0,8541.0
11,89,1086.0,2769.0
43,433494437,3667.0,11491.0
6,8,758.0,1518.0
19,4181,1688.0,5131.0
33,3524578,2777.0,8808.0
43,433494437,3535.0,11389.0
41,165580141,3992.0,11449.0
40,102334155,3335.0,10804.0
22,17711,2050.0,5604.0
6,8,742.0,1512.0
16,987,1776.0,4551.0
44,701408733,4260.0,13987.0
20,6765,1874.0,5841.0
15,610,1420.0,3895.0
13,233,1241.0,3639.0
10,55,1047.0,2842.0
2,1,487.0,486.0
3,2,534.0,748.0
16,987,1493.0,4432.0
31,1346269,2789.0,8317.0
40,102334155,3627.0,10611.0
5,5,921.0,1267.0
30,832040,2538.0,8038.0
27,196418,2327.0,7462.0
41,165580141,3282.0,10507.0
37,24157817,2987.0,12465.0
13,233,1210.0,3182.0
45,1134903170,3630.0,11875.0
25,75025,2124.0,6504.0
32,2178309,2715.0,8493.0
26,121393,2221.0,7578.0
16,987,1459.0,4732.0
10,55,1031.0,2715.0
42,267914296,3463.0,11498.0
45,1134903170,3815.0,11667.0
1,1,392.0,256.0
7,13,786.0,1736.0
28,317811,2337.0,7331.0
15,610,1331.0,3886.0
12,144,1152.0,2938.0
45,1134903170,3601.0,11955.0
34,5702887,2841.0,8794.0
30,832040,2481.0,7772.0
4,3,600.0,4587.0
36,14930352,4414.0,10143.0
16,987,2303.0,5006.0
8,21,876.0,1989.0
30,832040,2759.0,8027.0
9,34,989.0,2287.0
30,832040,2788.0,11861.0
43,433494437,3750.0,12979.0
34,5702887,3112.0,9343.0
36,14930352,3023.0,9630.0
39,63245986,3357.0,10328.0
21,10946,1979.0,5324.0
29,514229,2417.0,7533.0
40,102334155,3410.0,10312.0
33,3524578,2710.0,8593.0
28,317811,3316.0,7458.0
36,14930352,3029.0,9552.0
29,514229,2465.0,7911.0
11,89,1094.0,4267.0
31,1346269,2670.0,8345.0
29,514229,2573.0,8323.0
17,1597,1579.0,5551.0
16,987,1471.0,4383.0
41,165580141,4130.0,12729.0
18,2584,1907.0,4951.0
34,5702887,3451.0,9101.0
32,2178309,2971.0,8661.0
41,165580141,3391.0,10964.0
16,987,1607.0,4121.0
18,2584,1639.0,4881.0
29,514229,2410.0,8816.0
5,5,676.0,1234.0
19,4181,1639.0,4997.0
16,987,1413.0,4034.0
18,2584,1567.0,4692.0
22,17711,1886.0,5783.0
21,10946,1798.0,5387.0
35,9227465,3031.0,9065.0
6,8,730.0,1474.0
9,34,931.0,2292.0
10,55,980.0,2438.0
15,610,1477.0,3871.0
25,75025,3058.0,8615.0
45,1134903170,4300.0,12163.0
10,55,1004.0,2523.0
14,377,1296.0,3867.0
5,5,723.0,1426.0
27,196418,2288.0,7335.0
27,196418,2318.0,6986.0
22,17711,1879.0,5731.0
35,9227465,2837.0,9057.0
30,832040,2499.0,7750.0
27,196418,2334.0,8410.0
4,3,640.0,982.0
14,377,1261.0,3703.0
27,196418,2252.0,7184.0
25,75025,2123.0,6557.0
38,39088169,3079.0,9817.0
45,1134903170,3685.0,11832.0
2,1,462.0,470.0
37,24157817,3062.0,10321.0
25,75025,2474.0,6961.0
31,1346269,2653.0,8581.0
1,1,408.0,261.0
23,28657,2030.0,6207.0
20,6765,1765.0,5286.0
25,75025,2173.0,6295.0
27,196418,2410.0,6786.0
35,9227465,2972.0,9081.0
35,9227465,2827.0,9029.0
39,63245986,3118.0,10808.0
15,610,1369.0,4021.0
32,2178309,3293.0,8620.0
15,610,1713.0,3709.0
18,2584,1751.0,4619.0
28,317811,2344.0,7300.0
32,2178309,2632.0,8282.0
2,1,454.0,472.0
25,75025,2102.0,6416.0
22,17711,1868.0,5716.0
43,433494437,3426.0,11756.0
44,701408733,4236.0,13109.0
26,121393,2239.0,8024.0
11,89,1087.0,2956.0
30,832040,2494.0,7833.0
9,34,942.0,2266.0
40,102334155,3200.0,10246.0
35,9227465,2973.0,8883.0
2,1,592.0,469.0
26,121393,2162.0,6542.0
38,39088169,3238.0,9734.0
37,24157817,2981.0,9538.0
43,433494437,3422.0,11020.0
2,1,586.0,471.0
6,8,723.0,1505.0
42,267914296,3340.0,10707.0
28,317811,2313.0,7709.0
9,34,918.0,2481.0
30,832040,3037.0,10540.0
12,144,1405.0,3605.0
4,3,630.0,1419.0
17,1597,1508.0,5676.0
25,75025,2380.0,6395.0
21,10946,1952.0,5517.0
14,377,1257.0,3449.0
30,832040,2661.0,7787.0
21,10946,1779.0,5286.0
22,17711,1865.0,5754.0
25,75025,2100.0,6428.0
18,2584,1560.0,4484.0
27,196418,2403.0,6859.0
17,1597,1613.0,4246.0
6,8,727.0,1471.0
31,1346269,2535.0,8024.0
2,1,456.0,471.0
35,9227465,2956.0,9022.0
4,3,597.0,971.0
23,28657,1940.0,5787.0
15,610,1890.0,3697.0
42,267914296,3350.0,12860.0
5,5,693.0,1233.0
42,267914296,3347.0,14184.0
3,2,580.0,730.0
2,1,721.0,477.0
16,987,1508.0,4343.0
13,233,1608.0,4943.0
2,1,478.0,1422.0
40,102334155,3386.0,10427.0
10,55,984.0,2442.0
16,987,1402.0,4188.0
9,34,923.0,2209.0
31,1346269,2540.0,8003.0
43,433494437,3608.0,10989.0
8,21,857.0,1968.0
37,24157817,2976.0,9511.0
14,377,1253.0,3557.0
30,832040,2477.0,7751.0
45,1134903170,3584.0,11527.0
17,1597,1483.0,4424.0
24,46368,2026.0,6173.0
11,89,1473.0,2682.0
39,63245986,3224.0,11985.0
39,63245986,3406.0,12507.0
8,21,1169.0,1986.0
11,89,1159.0,3499.0
20,6765,1858.0,5353.0
7,13,843.0,1726.0
38,39088169,3822.0,10040.0
2,1,479.0,479.0
20,6765,1736.0,5203.0
37,24157817,2989.0,9533.0
44,701408733,3616.0,11224.0
25,75025,2144.0,6454.0
26,121393,2148.0,6535.0
13,233,1299.0,3213.0
5,5,662.0,1231.0
38,39088169,3055.0,9722.0
45,1134903170,3728.0,11586.0
41,165580141,3285.0,12169.0
16,987,2856.0,6711.0
7,13,810.0,1888.0
45,1134903170,3699.0,17623.0
20,6765,1847.0,7010.0
44,701408733,4046.0,14489.0
39,63245986,3820.0,10284.0
8,21,881.0,1983.0
37,24157817,3086.0,9505.0
3,2,526.0,722.0
23,28657,2087.0,5872.0
35,9227465,2841.0,9008.0
28,317811,2455.0,7107.0
43,433494437,3544.0,10975.0
24,46368,2012.0,6236.0
5,5,661.0,1230.0
33,3524578,2681.0,10779.0
42,267914296,4553.0,11188.0
22,17711,1954.0,5629.0
1,1,564.0,256.0
27,196418,2243.0,7901.0
32,2178309,2688.0,9251.0
7,13,828.0,2362.0
28,317811,4839.0,7340.0
24,46368,2246.0,6077.0
41,165580141,3468.0,10581.0
30,832040,2478.0,7711.0
10,55,978.0,2437.0
28,317811,2364.0,7182.0
12,144,1107.0,2920.0
34,5702887,2887.0,8649.0
42,267914296,3486.0,10735.0
18,2584,1615.0,4626.0
40,102334155,3197.0,11163.0
35,9227465,2890.0,9047.0
31,1346269,2913.0,8008.0
30,832040,2597.0,7560.0
28,317811,2442.0,7126.0
38,39088169,3354.0,10998.0
18,2584,1742.0,5594.0
21,10946,2562.0,6164.0
16,987,1490.0,4344.0
6,8,792.0,1542.0
18,2584,1564.0,4683.0
29,514229,2403.0,7472.0
16,987,1399.0,4048.0
30,832040,2598.0,7569.0
37,24157817,3110.0,9623.0
40,102334155,3244.0,10452.0
43,433494437,3402.0,10988.0
25,75025,2875.0,6732.0
22,17711,1866.0,5537.0
2,1,620.0,470.0
32,2178309,2702.0,8645.0
21,10946,1781.0,5595.0
12,144,1272.0,2978.0
32,2178309,2643.0,8350.0
14,377,1319.0,3853.0
23,28657,2098.0,6212.0
17,1597,1840.0,5580.0
22,17711,2003.0,6568.0
18,2584,1631.0,6656.0
39,63245986,3308.0,10171.0
45,1134903170,3766.0,11699.0
18,2584,1590.0,4537.0
36,14930352,3089.0,9220.0
1,1,385.0,251.0
34,5702887,2800.0,8730.0
13,233,1170.0,3171.0
6,8,724.0,1468.0
16,987,1551.0,4618.0
27,196418,2623.0,7116.0
32,2178309,2903.0,9948.0
36,14930352,4737.0,9590.0
16,987,1430.0,3996.0
45,1134903170,3822.0,11716.0
31,1346269,3172.0,10468.0
42,267914296,4466.0,12302.0
32,2178309,2833.0,9602.0
29,514229,2897.0,7342.0
2,1,458.0,471.0
6,8,799.0,1652.0
19,4181,1750.0,4767.0
15,610,1331.0,3855.0
26,121393,2176.0,6710.0
45,1134903170,3685.0,11667.0
16,987,1445.0,4957.0
20,6765,1841.0,5342.0
43,433494437,3759.0,11274.0
38,39088169,3080.0,10631.0
24,46368,2518.0,6298.0
31,1346269,3149.0,8007.0
36,14930352,3016.0,11083.0
34,5702887,2911.0,9592.0
23,28657,2020.0,6141.0
28,317811,2405.0,7224.0
36,14930352,2905.0,9424.0
22,17711,1922.0,5897.0
23,28657,2020.0,7783.0
45,1134903170,5749.0,12342.0
30,832040,2495.0,7973.0
18,2584,1613.0,4931.0
20,6765,1762.0,5394.0
17,1597,1562.0,4479.0
15,610,1374.0,4119.0
8,21,884.0,1998.0
13,233,1209.0,3389.0
21,10946,1828.0,5905.0
8,21,951.0,2395.0
35,9227465,3227.0,10307.0
45,1134903170,3880.0,13680.0
12,144,1880.0,5369.0
13,233,2575.0,4756.0
14,377,1978.0,4015.0
31,1346269,3369.0,8816.0
18,2584,1835.0,4720.0
38,39088169,3085.0,9883.0
34,5702887,2895.0,8601.0
39,63245986,3272.0,10559.0
19,4181,3178.0,4941.0
7,13,793.0,1718.0
13,233,1163.0,3217.0
19,4181,1635.0,5271.0
15,610,1337.0,3892.0
24,46368,2037.0,6155.0
12,144,1117.0,3073.0
20,6765,1723.0,5027.0
1,1,532.0,252.0
35,9227465,2812.0,9335.0
9,34,925.0,2207.0
18,2584,1561.0,4677.0
3,2,844.0,2078.0
4,3,654.0,977.0
36,14930352,4923.0,11145.0
19,4181,2459.0,9340.0
45,1134903170,7495.0,15266.0
9,34,966.0,2549.0
41,165580141,3268.0,10523.0
32,2178309,2628.0,8275.0
7,13,794.0,1715.0
1,1,382.0,253.0
37,24157817,3110.0,9653.0
19,4181,1645.0,4841.0
31,1346269,2742.0,7836.0
31,1346269,2723.0,7822.0
29,514229,2614.0,7328.0
22,17711,2086.0,5535.0
12,144,1106.0,3052.0
4,3,598.0,979.0
17,1597,1480.0,4249.0
31,1346269,2733.0,9690.0
8,21,886.0,1978.0
5,5,665.0,1249.0
26,121393,2212.0,12946.0
32,2178309,11903.0,13065.0
5,5,698.0,1255.0
37,24157817,3308.0,10550.0
41,165580141,3593.0,10636.0
44,701408733,3521.0,11266.0
4,3,598.0,1023.0
10,55,1123.0,2438.0
10,55,970.0,2435.0
37,24157817,2981.0,9511.0
20,6765,1895.0,5021.0
6,8,726.0,1472.0
16,987,1402.0,4119.0
8,21,871.0,1982.0
36,14930352,3000.0,9324.0
27,196418,2419.0,7906.0
39,63245986,3428.0,10173.0
39,63245986,3147.0,11905.0
40,102334155,5613.0,17716.0
15,610,1670.0,6400.0
34,5702887,3531.0,8986.0
25,75025,2106.0,6519.0
29,514229,2402.0,7463.0
29,514229,2391.0,7521.0
20,6765,1703.0,5020.0
38,39088169,3183.0,9864.0
28,317811,2350.0,7245.0
20,6765,1709.0,5080.0
37,24157817,3133.0,9489.0
40,102334155,3211.0,11433.0
4,3,613.0,1310.0
40,102334155,3377.0,10290.0
7,13,792.0,1725.0
14,377,1259.0,5576.0
41,165580141,4849.0,18049.0
14,377,1329.0,4170.0
17,1597,1971.0,5215.0
43,433494437,3602.0,11139.0
6,8,731.0,1624.0
11,89,1040.0,2681.0
16,987,1409.0,3984.0
12,144,1268.0,2988.0
36,14930352,2923.0,9332.0
5,5,667.0,1229.0
11,89,1046.0,2853.0
1,1,433.0,253.0
27,196418,2233.0,6940.0
29,514229,2391.0,7465.0
45,1134903170,3647.0,11521.0
39,63245986,3683.0,10699.0
31,1346269,3181.0,8041.0
19,4181,1646.0,4762.0
3,2,658.0,721.0
15,610,1335.0,3703.0
19,4181,1633.0,5052.0
19,4181,1710.0,5345.0
45,1134903170,4572.0,14561.0
30,832040,2933.0,8734.0
5,5,703.0,1440.0
44,701408733,3957.0,11698.0
15,610,1502.0,3756.0
17,1597,1478.0,4396.0
41,165580141,3274.0,10558.0
38,39088169,3084.0,9734.0
43,433494437,3556.0,11042.0
13,233,1171.0,3845.0
28,317811,2361.0,7460.0
8,21,893.0,2250.0
35,9227465,3409.0,9386.0
15,610,1832.0,3793.0
42,267914296,3589.0,10996.0
10,55,983.0,2526.0
18,2584,1965.0,4889.0
